Instruction,Output,input_text
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","154 K, 104 K","Incorporating this fabrication technique and optimizing the active region design, researchers were able to achieve operation of a 1 THz QCL at 154 K in pulsed mode and 104 K in cw mode."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.4 THz,We demonstrated the successful operation of terahertz quantum cascade lasers emitting at 3.4 THz using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3 to 4.7 THz," An emission spectrum of 3 to 4.7 THz is emitted by the THz QCLs being researched.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.5 THz,"The QCL can be used in pulsed-mode up to a heat-sink temperature of 180 K, delivering a frequency of 3.5 THz, making it a breakthrough in the field of THz technology."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.4Ga0.6As,"To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a fourteen-well GaAs/Al0.4Ga0.6As structure."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.5 mW,"A Winston cone with an opening diameter of 1.90 mm was used to collect light from a single facet, resulting in a measurement of 0.5 mW of maximum continuous wave power. The measurement was taken using a thermopile detector (ScienTech, model AC2500), which was positioned next to the cryostat window.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",110 K,"The device reached a maximum heatsink temperature of 110 K when operating in a pulsed manner.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",45 K,"In cw operation, this device lased up to Tmax=45K."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",80 K,"In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 80 K."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",15 Mw,"At 87 K, the threshold current-density was measured as ~932 A/cm2 with a peak-power output of ~15 mW."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"The 4-well module was grown through molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, resulting in a resonant-phonon laser with an active region composed of 178 recurring periods."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",204 K,"The sustained Tmax of 204 K for this terahertz QCL is the highest reported so far, despite having a smaller radiative oscillator strength in this design."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",50 Mw,A 80-mm-wide and 1.5-mm-long laser in cw operation at 12K achieved an optical power of 50mW with a threshold current density of 300 A/cm2.
